Wavelength,PACS_100
13.48620033,1e-08
13.49069881,1e-08
13.49530125,1e-08
13.49979973,1e-08
13.50440025,1e-08
13.50889874,1e-08
13.51350117,1e-08
13.51809883,1e-08
13.52270126,1e-08
13.52719975,1e-08
13.53180027,1e-08
13.53639984,1e-08
13.54100037,1e-08
13.54549885,1e-08
13.55010033,1e-08
13.55469894,1e-08
13.55930042,1e-08
13.56389904,1e-08
13.56849957,1e-08
13.57310104,1e-08
13.57769966,1e-08
13.58230114,1e-08
13.58699989,1e-08
13.59160042,1e-08
13.59619999,2e-08
13.60079956,2e-08
13.60540009,2e-08
13.61009884,2e-08
13.61470127,2e-08
13.61929893,2e-08
13.6239996,2e-08
13.62860012,2e-08
13.63329887,2e-08
13.63790035,2e-08
13.64260006,2e-08
13.64719963,2e-08
13.65190125,2e-08
13.65649891,3e-08
13.66119957,3e-08
13.66590118,3e-08
13.67049885,3e-08
13.67520046,3e-08
13.67990112,3e-08
13.68459988,3e-08
13.68929958,3e-08
13.69390106,3e-08
13.69859982,3e-08
13.70330048,3e-08
13.70800018,3e-08
13.71269894,3e-08
13.7173996,3e-08
13.72210121,4e-08
13.72679996,4e-08
13.73149967,4e-08
13.73630047,4e-08
13.74100018,4e-08
13.74569893,4e-08
13.75039959,4e-08
13.75520039,4e-08
13.75990105,4e-08
13.7645998,4e-08
13.76939964,4e-08
13.77410126,4e-08
13.77880001,4e-08
13.78359985,4e-08
13.78829956,4e-08
13.79310036,4e-08
13.79790115,4e-08
13.80259991,4e-08
13.80739975,5e-08
13.81219959,5e-08
13.81690121,5e-08
13.82170105,5e-08
13.82649899,5e-08
13.83129883,5e-08
13.83600044,5e-08
13.84080029,5e-08
13.84560013,5e-08
13.85039997,5e-08
13.85519981,5e-08
13.85999966,5e-08
13.86480045,5e-08
13.8696003,5e-08
13.87440014,5e-08
13.87930107,5e-08
13.88409901,5e-08
13.88889885,5e-08
13.89369965,5e-08
13.89850044,5e-08
13.90340042,5e-08
13.90820026,5e-08
13.91300011,5e-08
13.91790104,5e-08
13.92269897,5e-08
13.92759991,5e-08
13.93239975,5e-08
13.93729877,5e-08
13.94209957,5e-08
13.94699955,5e-08
13.95189953,6e-08
13.95670033,6e-08
13.9616003,6e-08
13.96650124,6e-08
13.97140026,6e-08
13.9762001,6e-08
13.98110104,6e-08
13.98600006,6e-08
13.99090099,6e-08
13.99580002,6e-08
14.00069904,6e-08
14.00559998,6e-08
14.010499,6e-08
14.01539993,6e-08
14.02029896,6e-08
14.02519989,6e-08
14.0302,6e-08
14.03509903,6e-08
14.03999996,6e-08
14.04489899,6e-08
14.04990101,6e-08
14.05480003,6e-08
14.05980015,5e-08
14.06470108,5e-08
14.06960011,5e-08
14.07460022,5e-08
14.07950115,5e-08
14.08450127,5e-08
14.08950043,5e-08
14.09440041,5e-08
14.09939957,5e-08
14.10439968,5e-08
14.10929966,6e-08
14.11429882,5e-08
14.11929893,5e-08
14.12430096,5e-08
14.12930107,5e-08
14.13430119,5e-08
14.13930035,5e-08
14.14430046,5e-08
14.14929962,5e-08
14.15429878,5e-08
14.1592989,5e-08
14.16429901,5e-08
14.16930103,5e-08
14.17430115,5e-08
14.17940044,5e-08
14.1843996,5e-08
14.18939972,5e-08
14.19449902,5e-08
14.19950104,5e-08
14.20450115,5e-08
14.20960045,5e-08
14.21459961,5e-08
14.21969891,5e-08
14.22480011,5e-08
14.22980022,5e-08
14.23490047,5e-08
14.23989964,5e-08
14.24499989,5e-08
14.25010109,5e-08
14.25520039,5e-08
14.26019955,5e-08
14.26529884,5e-08
14.27040005,5e-08
14.27550125,5e-08
14.28059959,5e-08
14.28569889,5e-08
14.29080009,5e-08
14.29590034,5e-08
14.30099964,5e-08
14.30620003,5e-08
14.31130123,5e-08
14.31639957,5e-08
14.32149887,5e-08
14.32660007,5e-08
14.33180046,5e-08
14.3368988,5e-08
14.3421011,5e-08
14.34720039,5e-08
14.35239983,5e-08
14.35750103,5e-08
14.36270046,5e-08
14.36779976,5e-08
14.37300014,5e-08
14.3781004,5e-08
14.38329887,5e-08
14.38850117,5e-08
14.39369965,5e-08
14.3987999,5e-08
14.40400028,5e-08
14.40919971,5e-08
14.4144001,5e-08
14.41959953,5e-08
14.42479992,4e-08
14.43000031,4e-08
14.43519974,4e-08
14.44040012,4e-08
14.44559956,4e-08
14.45090103,4e-08
14.45610046,4e-08
14.46129894,4e-08
14.46650124,4e-08
14.47179985,4e-08
14.47700024,4e-08
14.48229885,4e-08
14.48750114,4e-08
14.49279976,4e-08
14.49800014,4e-08
14.50329876,3e-08
14.50850105,3e-08
14.51379967,3e-08
14.51910114,3e-08
14.52429962,3e-08
14.52960014,3e-08
14.53489876,3e-08
14.54020023,3e-08
14.54549885,3e-08
14.55070114,3e-08
14.55599976,3e-08
14.56130123,3e-08
14.56659985,3e-08
14.57190037,3e-08
14.57730103,2e-08
14.58259964,2e-08
14.58790112,2e-08
14.59319973,2e-08
14.59850121,2e-08
14.603899,2e-08
14.60919952,2e-08
14.614501,2e-08
14.6198988,2e-08
14.62520027,2e-08
14.63059998,2e-08
14.63589954,2e-08
14.64130116,2e-08
14.64659977,2e-08
14.65200043,2e-08
14.65740013,2e-08
14.66279984,2e-08
14.66810036,2e-08
14.67350101,2e-08
14.67889881,2e-08
14.68430042,2e-08
14.68970108,2e-08
14.69509888,1e-08
14.70049953,1e-08
14.70590115,1e-08
14.71129894,1e-08
14.7166996,1e-08
14.72210121,1e-08
14.72749901,1e-08
14.7329998,1e-08
14.73840046,1e-08
14.74380016,1e-08
14.74930096,1e-08
14.75469875,1e-08
14.76010036,1e-08
14.7656002,1e-08
14.77099991,1e-08
14.77649879,1e-08
14.78199959,1e-08
14.78740025,1e-08
14.79290104,1e-08
14.79839993,1e-08
14.80379963,1e-08
14.80930042,1e-08
14.81480026,1e-08
14.82030106,1e-08
14.82579994,1e-08
14.83129883,1e-08
14.83679962,1e-08
14.84230042,1e-08
14.84780025,1e-08
14.85330105,1e-08
14.85879993,1e-08
14.86439991,1e-08
14.8698988,1e-08
14.87539959,1e-08
14.88099957,1e-08
14.88650036,1e-08
14.8920002,1e-08
14.89760017,1e-08
14.90310097,1e-08
14.90869904,1e-08
14.91419983,1e-08
25.60820007,1e-08
25.62459946,1e-08
25.64100075,1e-08
25.65749931,1e-08
25.6739006,1e-08
25.69039917,1e-08
25.70689964,1e-08
25.7234993,1e-08
25.73999977,1e-08
25.75659943,1e-08
25.77319908,1e-08
25.78980064,1e-08
25.80649948,1e-08
25.82309914,1e-08
25.83979988,1e-08
25.85650063,1e-08
25.87319946,1e-08
31.54570007,1e-08
31.57060242,1.2e-07
31.59560013,3.3e-07
31.62059784,4.3e-07
31.64559937,3.6e-07
31.67060089,1.9e-07
48.95959854,1e-08
49.01959991,1e-08
49.07979965,1e-08
49.13999939,1e-08
49.20050049,1e-08
49.26110077,2e-08
49.32180023,2e-08
49.38270187,2e-08
49.44380188,3e-08
49.50500107,3e-08
49.56629944,2e-08
49.62779999,3e-08
49.68939972,2e-08
49.75120163,2e-08
49.8132019,3e-08
49.87530136,4e-08
49.93759918,6e-08
50,1e-07
50.06259918,1.4e-07
50.12530136,1.9e-07
50.1882019,2.5e-07
50.25130081,2.8e-07
50.3144989,2.8e-07
50.37779999,3e-07
50.44139862,2.9e-07
50.50510025,2.7e-07
50.56890106,2.6e-07
50.63290024,1.8e-07
50.69710159,1.2e-07
50.76139832,3.1e-07
50.82590103,6e-07
50.8905983,8.8e-07
50.95539856,1.29e-06
51.020401,1.53e-06
51.08560181,1.53e-06
51.15090179,1.66e-06
51.21640015,1.76e-06
51.28210068,1.54e-06
51.34790039,1.54e-06
51.41389847,1.65e-06
51.48009872,1.46e-06
51.54639816,1.78e-06
51.61289978,2.56e-06
51.67959976,2.81e-06
51.74639893,3.13e-06
51.81349945,3.74e-06
51.88069916,3.55e-06
51.94810104,3.43e-06
52.0155983,4.21e-06
52.08330154,4.59e-06
52.15119934,5e-06
52.21929932,6.2e-06
52.28760147,6.62e-06
52.35599899,6.74e-06
52.49340057,7.55e-06
52.56240082,5.93e-06
52.63159943,5.4e-06
52.70090103,4.94e-06
52.770401,4.17e-06
52.84019852,5.14e-06
52.91009903,5.69e-06
52.98009872,4.13e-06
53.05039978,3.42e-06
53.12080002,3.4e-06
53.19150162,2.51e-06
53.26229858,2.74e-06
