Wavelength,PLANKC_2100
5.9304E+05,6.5226E-11
2.9652E+05,6.5268E-11
1.9768E+05,6.5337E-11
1.4826E+05,6.5435E-11
1.1861E+05,6.5560E-11
9.8840E+04,6.5714E-11
8.4720E+04,6.5896E-11
7.4130E+04,6.6107E-11
6.5894E+04,6.6346E-11
5.9304E+04,6.6615E-11
5.3913E+04,6.6914E-11
4.9420E+04,6.7242E-11
4.5619E+04,6.7601E-11
4.2360E+04,6.7991E-11
3.9536E+04,6.8413E-11
3.7065E+04,6.8867E-11
3.4885E+04,6.9353E-11
3.2947E+04,6.9873E-11
3.1213E+04,7.0427E-11
2.9652E+04,7.1015E-11
2.8240E+04,7.1640E-11
2.6956E+04,7.2301E-11
2.5784E+04,7.3000E-11
2.4710E+04,7.3737E-11
2.3722E+04,7.4514E-11
2.2809E+04,7.5332E-11
2.1965E+04,7.6191E-11
2.1180E+04,7.7094E-11
2.0450E+04,7.8042E-11
1.9768E+04,7.9035E-11
1.9130E+04,8.0077E-11
1.8533E+04,8.1167E-11
1.7971E+04,8.2308E-11
1.7442E+04,8.3502E-11
1.6944E+04,8.4750E-11
1.6473E+04,8.6055E-11
1.6028E+04,8.7419E-11
1.5606E+04,8.8843E-11
1.5206E+04,9.0331E-11
1.4826E+04,9.1884E-11
1.4464E+04,9.3505E-11
1.4120E+04,9.5198E-11
1.3792E+04,9.6964E-11
1.3478E+04,9.8808E-11
1.3179E+04,1.0073E-10
1.2892E+04,1.0274E-10
1.2618E+04,1.0483E-10
1.2355E+04,1.0702E-10
1.2103E+04,1.0930E-10
1.1861E+04,1.1168E-10
1.1628E+04,1.1417E-10
1.1405E+04,1.1676E-10
1.1189E+04,1.1947E-10
1.0982E+04,1.2229E-10
1.0783E+04,1.2524E-10
1.0590E+04,1.2832E-10
1.0404E+04,1.3154E-10
1.0225E+04,1.3490E-10
1.0052E+04,1.3841E-10
9.8840E+03,1.4208E-10
9.7220E+03,1.4592E-10
9.5652E+03,1.4993E-10
9.4134E+03,1.5412E-10
9.2663E+03,1.5851E-10
9.1237E+03,1.6310E-10
8.9855E+03,1.6790E-10
8.8514E+03,1.7293E-10
8.7212E+03,1.7819E-10
8.5948E+03,1.8371E-10
8.4720E+03,1.8948E-10
8.3527E+03,1.9553E-10
8.2367E+03,2.0188E-10
8.1239E+03,2.0854E-10
8.0141E+03,2.1552E-10
