Wavelength,PLANCK_850
5.9304E+05,2.0658E-18
2.9652E+05,2.0662E-18
1.9768E+05,2.0668E-18
1.4826E+05,2.0676E-18
1.1861E+05,2.0686E-18
9.8840E+04,2.0698E-18
8.4720E+04,2.0713E-18
7.4130E+04,2.0730E-18
6.5893E+04,2.0749E-18
5.9304E+04,2.0771E-18
5.3913E+04,2.0795E-18
4.9420E+04,2.0821E-18
4.5618E+04,2.0850E-18
4.2360E+04,2.0881E-18
3.9536E+04,2.0914E-18
3.7065E+04,2.0950E-18
3.4885E+04,2.0988E-18
3.2947E+04,2.1028E-18
3.1213E+04,2.1071E-18
2.9652E+04,2.1116E-18
2.8240E+04,2.1163E-18
2.6956E+04,2.1214E-18
2.5784E+04,2.1266E-18
2.4710E+04,2.1321E-18
2.3722E+04,2.1378E-18
2.2809E+04,2.1438E-18
2.1964E+04,2.1501E-18
2.1180E+04,2.1566E-18
2.0450E+04,2.1634E-18
1.9768E+04,2.1704E-18
1.9130E+04,2.1777E-18
1.8532E+04,2.1852E-18
1.7971E+04,2.1930E-18
1.7442E+04,2.2011E-18
1.6944E+04,2.2095E-18
1.6473E+04,2.2181E-18
1.6028E+04,2.2271E-18
1.5606E+04,2.2363E-18
1.5206E+04,2.2457E-18
1.4826E+04,2.2555E-18
1.4464E+04,2.2656E-18
1.4120E+04,2.2760E-18
1.3792E+04,2.2866E-18
1.3478E+04,2.2976E-18
1.3179E+04,2.3089E-18
1.2892E+04,2.3205E-18
1.2618E+04,2.3324E-18
1.2355E+04,2.3446E-18
1.2103E+04,2.3572E-18
1.1861E+04,2.3701E-18
1.1628E+04,2.3833E-18
1.1405E+04,2.3968E-18
1.1189E+04,2.4107E-18
1.0982E+04,2.4250E-18
1.0783E+04,2.4396E-18
1.0590E+04,2.4546E-18
1.0404E+04,2.4699E-18
1.0225E+04,2.4856E-18
1.0051E+04,2.5017E-18
9.8840E+03,2.5182E-18
9.7219E+03,2.5350E-18
9.5651E+03,2.5523E-18
9.4133E+03,2.5700E-18
9.2662E+03,2.5880E-18
9.1237E+03,2.6065E-18
8.9854E+03,2.6255E-18
8.8513E+03,2.6448E-18
8.7212E+03,2.6646E-18
8.5948E+03,2.6849E-18
8.4720E+03,2.7056E-18
8.3527E+03,2.7267E-18
8.2366E+03,2.7484E-18
8.1238E+03,2.7705E-18
8.0140E+03,2.7931E-18
7.9072E+03,2.8162E-18
7.8031E+03,2.8399E-18
7.7018E+03,2.8640E-18
7.6031E+03,2.8887E-18
7.5068E+03,2.9139E-18
7.4130E+03,2.9397E-18
7.3215E+03,2.9660E-18
7.2322E+03,2.9929E-18
7.1450E+03,3.0204E-18
7.0600E+03,3.0485E-18
6.9769E+03,3.0772E-18
6.8958E+03,3.1065E-18
6.8165E+03,3.1365E-18
6.7391E+03,3.1671E-18
6.6634E+03,3.1984E-18
6.5893E+03,3.2303E-18
