Wavelength,SPIRE_350
166.671,4.85009e-07
166.949,4.09394e-07
167.228,3.65257e-07
167.48,3.05637e-07
167.761,3.1539e-07
168.043,4.08507e-07
168.326,3.88069e-07
168.581,4.88721e-07
168.866,3.9772e-07
169.152,5.40921e-07
169.438,6.94852e-07
169.726,7.33966e-07
169.986,5.30815e-07
170.275,6.863e-07
170.565,5.3979e-07
170.857,6.21735e-07
171.149,5.49158e-07
171.413,5.69319e-07
171.708,4.33302e-07
172.003,4.62366e-07
172.299,4.07067e-07
172.567,4.53525e-07
172.865,4.31347e-07
173.165,3.83642e-07
173.465,3.52937e-07
173.766,4.35177e-07
174.038,3.78707e-07
174.342,4.37324e-07
174.646,4.13778e-07
174.952,5.44835e-07
175.259,6.32238e-07
175.535,6.94577e-07
175.844,4.41577e-07
176.154,7.28933e-07
176.465,5.92202e-07
176.745,4.61396e-07
177.058,5.60742e-07
177.372,5.13938e-07
177.687,4.19784e-07
178.004,3.91274e-07
178.289,4.66998e-07
178.608,3.58482e-07
178.927,1.16182e-07
179.248,2.73724e-07
179.57,3.42155e-07
179.861,4.65955e-07
180.185,6.07759e-07
180.51,5.05804e-07
180.836,6.30051e-07
181.131,5.8611e-07
181.46,6.53389e-07
181.79,5.15199e-07
182.121,7.77663e-07
182.453,8.57721e-07
182.753,9.03193e-07
183.088,8.94373e-07
183.424,1.07786e-06
183.761,8.34084e-07
184.099,5.74013e-07
184.404,5.58475e-07
184.745,4.48521e-07
185.087,4.66523e-07
185.43,8.17122e-07
185.74,9.70324e-07
186.086,8.78413e-07
186.433,5.10005e-07
186.781,2.64031e-07
187.13,5.23258e-07
187.446,5.79068e-07
187.798,4.43844e-07
188.151,3.20562e-07
188.506,3.23511e-07
188.862,3.31803e-07
189.184,4.18854e-07
189.542,6.46171e-07
189.902,-1.36725e-07
190.264,2.59823e-07
190.59,3.95338e-07
190.954,8.48935e-07
191.319,6.55428e-07
191.686,5.78873e-07
192.054,3.46331e-07
192.387,6.06699e-07
192.757,9.65993e-07
193.13,1.05797e-06
193.503,8.63546e-07
193.841,8.47432e-07
194.217,1.22795e-06
194.595,1.4344e-06
194.975,1.02712e-06
195.356,1.28029e-06
195.7,8.3226e-07
196.083,8.53335e-07
196.469,8.2846e-07
196.855,1.52111e-06
197.244,8.03469e-07
197.594,1.59061e-06
197.986,1.43121e-06
198.378,1.49356e-06
198.773,1.56511e-06
199.129,1.67339e-06
199.526,5.48919e-06
199.925,3.89062e-06
200.326,3.03132e-07
200.728,7.62069e-07
201.091,3.76477e-07
201.496,3.39827e-07
201.903,5.09057e-07
202.311,7.21119e-07
202.721,3.20031e-07
203.092,5.91468e-07
203.505,9.30451e-07
203.92,7.44468e-07
204.337,1.53697e-06
204.713,2.77819e-06
205.133,6.45561e-07
205.555,1.28754e-06
205.978,9.53815e-07
206.404,1.03295e-06
206.788,1.34035e-06
207.216,7.80626e-07
207.646,1.09089e-06
208.078,1.14267e-06
208.512,1.29473e-06
208.904,1.21902e-06
209.342,1.76054e-06
209.781,1.31402e-06
210.222,6.43173e-07
210.62,1.1703e-06
211.065,8.38024e-07
211.511,1.53129e-06
211.96,2.22954e-07
212.41,8.98035e-07
212.817,1.02716e-06
213.27,1.50001e-06
213.726,6.28647e-07
214.184,8.59187e-07
214.644,1.20159e-06
215.059,1.54637e-06
215.523,8.32813e-07
215.988,8.16506e-07
216.456,7.1746e-07
216.878,1.41796e-06
217.35,1.0059e-06
217.823,7.10445e-07
218.298,1.94742e-06
218.776,1.63122e-06
219.208,2.18105e-06
219.689,2.80084e-06
220.173,1.98548e-06
220.659,1.74781e-06
221.098,1.59388e-06
221.588,1.32681e-06
222.08,1.63086e-06
222.574,1.85197e-06
223.071,1.44888e-06
223.519,2.37486e-06
224.02,2.89863e-06
224.523,2.48422e-06
225.028,2.1747e-06
225.536,3.95156e-06
225.994,3.55639e-06
226.506,3.22507e-06
227.02,4.31494e-06
227.537,2.14586e-06
228.004,2.5515e-06
228.525,1.45585e-06
229.048,2.28202e-06
229.574,2.21183e-06
230.102,2.43273e-06
230.58,2.86633e-06
231.113,2.12598e-06
231.648,2.03569e-06
232.186,1.79287e-06
232.726,6.61122e-07
233.215,5.17547e-07
233.76,6.83744e-08
234.308,-1.49729e-06
234.858,1.14091e-06
235.355,2.36389e-06
235.911,2.27621e-06
236.468,2.35109e-06
237.029,3.85146e-06
237.592,4.80389e-06
238.101,3.71853e-06
238.669,4.42318e-06
239.24,3.95255e-06
239.814,5.53207e-06
240.391,4.53932e-06
240.912,6.55561e-06
241.494,6.09298e-06
242.078,5.57306e-06
242.666,4.34701e-06
243.197,4.08585e-06
243.79,4.97776e-06
244.385,4.55644e-06
244.984,6.86506e-06
245.586,5.38523e-06
246.13,4.6465e-06
246.737,4.22501e-06
247.347,7.78723e-06
247.961,8.03158e-06
248.577,5.79624e-06
249.134,7.06394e-06
249.757,8.05747e-06
250.382,7.02798e-06
251.01,5.77369e-06
251.579,6.80566e-06
252.213,8.55933e-06
252.851,6.99661e-06
253.492,1.22622e-05
254.136,1.62791e-05
254.719,1.79156e-05
255.369,2.20369e-05
256.023,2.33318e-05
256.68,2.44962e-05
257.34,3.34666e-05
257.938,4.10388e-05
258.605,4.38139e-05
259.275,4.60247e-05
259.949,5.4913e-05
260.559,6.07936e-05
261.24,7.38362e-05
261.924,8.92549e-05
262.612,0.00010567
263.303,0.000126546
263.929,0.000157197
264.627,0.000188864
265.329,0.000238864
266.035,0.00029427
266.673,0.000361985
267.386,0.000450254
268.103,0.000570279
268.824,0.000706212
269.549,0.000879437
270.204,0.00108339
270.936,0.00127151
271.672,0.00147046
272.412,0.00169867
273.156,0.00194212
273.829,0.00222303
274.581,0.00259352
275.337,0.00298342
276.098,0.00338297
276.785,0.003865
277.553,0.00442395
278.326,0.00495157
279.103,0.00549233
279.884,0.00610385
280.591,0.00685667
281.38,0.00745949
282.174,0.00836895
282.973,0.00949611
283.776,0.0104381
284.502,0.0125155
285.314,0.0163209
286.13,0.0181824
286.951,0.0234865
287.694,0.0284197
288.524,0.035033
289.359,0.0419788
290.199,0.0501201
291.043,0.0584513
291.808,0.0690191
292.662,0.0846931
293.521,0.106692
294.385,0.134424
295.254,0.167601
296.041,0.202966
296.92,0.238091
297.804,0.263387
298.693,0.280994
299.498,0.295864
300.398,0.310795
301.303,0.322311
302.214,0.330435
303.13,0.342791
303.959,0.346432
304.886,0.345224
305.818,0.344954
306.756,0.347234
307.7,0.353471
308.555,0.350056
309.509,0.364882
310.47,0.378148
311.437,0.386466
312.313,0.390045
313.291,0.398751
314.276,0.406463
315.266,0.402533
316.263,0.401164
317.166,0.399053
318.175,0.390924
319.191,0.390995
320.213,0.39751
321.138,0.421063
322.173,0.446651
323.214,0.476358
324.262,0.487067
325.317,0.496916
326.272,0.482537
327.34,0.480049
328.415,0.468552
329.498,0.464502
330.587,0.472923
331.573,0.486909
332.676,0.49462
333.787,0.51219
334.905,0.520955
335.917,0.526153
337.049,0.529359
338.189,0.530802
339.337,0.526467
340.492,0.528659
341.539,0.532192
342.709,0.538963
343.888,0.557354
345.074,0.564532
346.269,0.557549
347.352,0.54245
348.562,0.543186
349.781,0.533633
351.009,0.540238
352.122,0.566288
353.366,0.600999
354.619,0.636019
355.881,0.643986
357.152,0.6538
358.303,0.645629
359.592,0.616494
360.89,0.603742
362.197,0.60121
363.513,0.60397
364.706,0.619463
366.041,0.628071
367.386,0.652522
368.741,0.660333
369.969,0.672207
371.342,0.684971
372.727,0.700001
374.121,0.695163
375.526,0.68811
376.799,0.685393
378.224,0.686839
379.66,0.689096
381.107,0.690677
382.565,0.695291
383.887,0.713421
385.366,0.702554
386.857,0.690346
388.359,0.676651
389.721,0.673247
391.246,0.667821
392.783,0.674112
394.332,0.658061
395.893,0.640055
397.308,0.591725
398.893,0.553154
400.491,0.486634
402.101,0.432106
403.724,0.370573
405.197,0.329391
406.845,0.276135
408.507,0.24177
410.183,0.212682
411.702,0.184372
413.404,0.153287
415.12,0.127813
416.851,0.0628322
418.596,0.029593
420.179,0.0175045
421.952,0.0115881
423.739,0.00824895
425.543,0.00591647
427.179,0.00451691
429.011,0.00359299
430.86,0.00282913
432.724,0.00220884
434.605,0.00179748
436.311,0.00146331
438.223,0.00122276
440.152,0.00108015
442.098,0.000980133
444.061,0.000866742
445.843,0.000755563
447.839,0.000662034
449.854,0.000560773
451.887,0.000492058
453.732,0.000440288
455.8,0.000415346
457.887,0.000404374
459.993,0.000399903
462.119,0.000385407
464.049,0.000364403
466.212,0.000349387
468.396,0.000322962
470.6,0.000295774
472.825,0.000261136
474.846,0
477.111,0
479.398,0
481.708,0
483.805,0
486.157,0
488.532,0
490.93,0
493.352,0
495.553,0
498.02,0
500.513,0
503.031,0
505.574,0
507.885,0
510.477,0
513.097,0
515.743,0
518.148,0
520.846,0
523.573,0
526.329,0
529.114,0
531.645,0
534.487,0
537.359,0
540.262,0
543.197,0
545.865,0
548.861,0
551.89,0
554.953,0
557.739,0
560.867,0
564.03,0
567.229,0
570.465,0
573.409,0
576.716,0
580.061,0
583.445,0
586.525,0
589.985,0
593.487,0
597.03,0
600.616,0
603.88,0
607.549,0
611.262,0
615.022,0
618.827,0
622.293,0
626.19,0
630.136,0
634.131,0
637.771,0
641.865,0
646.011,0
650.211,0
654.467,0
658.344,0
662.707,0
667.128,0
671.609,0
676.15,0
680.289,0
684.949,0
689.672,0
694.462,0
698.83,0
703.747,0
708.735,0
713.794,0
718.925,0
723.607,0
728.881,0
734.233,0
739.664,0
745.175,0
750.206,0
755.877,0
761.634,0
767.479,0
772.817,0
778.836,0
784.949,0
791.159,0
797.468,0
803.233,0
809.737,0
816.347,0
823.066,0
829.896,0
836.141,0
843.191,0
850.362,0
857.654,0
864.326,0
871.862,0
879.53,0
887.334,0
895.278,0
902.55,0
910.77,0
919.141,0
927.667,0
936.353,0
944.311,0
953.313,0
962.488,0
971.842,0
980.417,0
990.124,0
1000.03,0
