Table 1 
Measured WISE Properties of the SINGS/KINGFISH Sample


Galaxy	W1	W1f	W2	W2f	W3	W3f	W4	W4f	Radius	b/a	P.A.	
	(mag)		(mag)		(mag)		(mag)		(arcsec)		(deg.)	
NGC0024	8.66 +or- 0.011	0	8.682 +or- 0.02	0	6.176 +or- 0.033	10	4.49 +or- 0.06	10	187.97	0.296	45.1	
NGC0337	8.777 +or- 0.011	0	8.552 +or- 0.02	0	4.912 +or- 0.017	10	2.549 +or- 0.02	10	101.98	0.622	131.8	
NGC0584	7.19 +or- 0.011	0	7.247 +or- 0.019	0	6.781 +or- 0.05	10	5.757 +or- 0.107	10	190.32	0.784	70.6	
NGC0628	6.442 +or- 0.011	0	6.332 +or- 0.019	0	2.701 +or- 0.015	10	0.882 +or- 0.018	10	324.47	0.819	86.4	
NGC0855	9.665 +or- 0.012	0	9.592 +or- 0.021	0	7.229 +or- 0.07	10	4.976 +or- 0.048	10	106.47	0.446	65.0	
NGC0925	7.57 +or- 0.011	0	7.517 +or- 0.02	0	4.243 +or- 0.034	10	2.252 +or- 0.058	10	311.71	0.501	110.1	
NGC1097	5.983 +or- 0.011	0	5.882 +or- 0.019	0	2.469 +or- 0.013	10	0.131 +or- 0.014	10	322.65	0.792	112.9	
NGC1266	9.385 +or- 0.012	0	9.091 +or- 0.021	0	6.199 +or- 0.018	10	2.557 +or- 0.016	10	65.89	0.733	115.4	
NGC1291	5.35 +or- 0.011	0	5.391 +or- 0.019	0	4.156 +or- 0.06	10	3.043 +or- 0.102	10	431.86	0.987	55.1	
NGC1316	5.079 +or- 0.011	0	5.102 +or- 0.019	0	4.17 +or- 0.038	10	2.783 +or- 0.047	10	768.93	0.645	34.7	
NGC1377	9.507 +or- 0.012	0	8.153 +or- 0.02	0	4.682 +or- 0.014	10	1.712 +or- 0.013	10	72.06	0.636	92.0	
NGC1404	6.611 +or- 0.014	0	6.651 +or- 0.023	0	6.021 +or- 0.086	10	5.049 +or- 0.067	10	216.32	0.88	160.0	
NGC1482	7.938 +or- 0.011	0	7.629 +or- 0.019	0	3.418 +or- 0.014	10	0.825 +or- 0.014	10	135.91	0.799	112.7	
NGC1512	7.245 +or- 0.011	0	7.246 +or- 0.019	0	4.639 +or- 0.027	10	3.005 +or- 0.036	10	291.06	0.644	45.3	
NGC1566	6.568 +or- 0.011	0	6.465 +or- 0.019	0	2.956 +or- 0.013	10	1.048 +or- 0.015	10	333.13	0.735	27.1	
NGC1705	10.085 +or- 0.012	0	10.001 +or- 0.021	0	7.983 +or- 0.036	10	5.407 +or- 0.064	10	94.69	0.595	44.2	
M81DwA	16.989 +or- 0.138	1	16.543 +or- 0.329	1	cdots +or- cdots	0	11.362 +or- 2.735	0	6.01	1.0	98.8	
DDO053	12.598 +or- 0.022	0	12.277 +or- 0.053	0	9.182 +or- 0.077	0	6.324 +or- 0.13	10	49.3	0.789	138.5	
NGC2403	5.689 +or- 0.011	0	5.59 +or- 0.019	0	2.203 +or- 0.016	10	0.195 +or- 0.023	10	656.59	0.528	124.1	
NGC2798	8.658 +or- 0.011	0	8.384 +or- 0.019	0	4.278 +or- 0.014	10	1.302 +or- 0.013	10	94.13	0.522	158.4	
NGC2841	5.89 +or- 0.011	0	5.892 +or- 0.019	0	3.742 +or- 0.014	10	2.038 +or- 0.04	10	384.35	0.47	151.4	
NGC2915	9.427 +or- 0.012	0	9.383 +or- 0.021	0	7.783 +or- 0.036	10	5.331 +or- 0.052	10	123.78	0.493	129.7	
NGC2976	7.155 +or- 0.011	0	7.055 +or- 0.019	0	3.837 +or- 0.017	10	1.838 +or- 0.017	10	237.09	0.589	144.3	
NGC3031	3.606 +or- 0.011	0	3.608 +or- 0.019	0	1.826 +or- 0.012	10	0.426 +or- 0.021	10	868.41	0.557	155.9	
NGC3049	9.774 +or- 0.012	0	9.727 +or- 0.022	0	6.027 +or- 0.02	10	3.237 +or- 0.021	10	78.19	0.624	26.0	
M81DwB	12.046 +or- 0.017	0	11.96 +or- 0.043	0	9.873 +or- 0.144	0	7.615 +or- 0.405	0	66.28	0.501	139.9	
NGC3190	7.298 +or- 0.011	0	7.258 +or- 0.019	0	5.054 +or- 0.019	10	3.64 +or- 0.029	10	178.48	0.45	121.1	
NGC3184	6.987 +or- 0.011	0	6.911 +or- 0.019	0	3.508 +or- 0.015	10	1.769 +or- 0.021	10	227.06	0.934	106.7	
NGC3198	7.609 +or- 0.011	0	7.52 +or- 0.019	0	4.171 +or- 0.02	10	2.116 +or- 0.025	10	279.97	0.349	35.3	
IC2574	8.681 +or- 0.012	0	8.592 +or- 0.022	0	7.27 +or- 0.084	10	4.1 +or- 0.108	0	326.09	0.49	39.6	
